income,expenses,total_savings,monthly_savings,membership_duration,loan_amount,duration,num_dependents,expected_return,guarantor_salary,collateral_value,collateral_type,collateral_type_score,has_guarantor,business_type,purpose,borrower_type,default_probability,defaulted
7771,3961,106329,939,8,25090,21,3,49851,0,14341,vehicle,0.8,0,Transport,Equipment Purchase,transport_worker,0.458,0
7403,3486,9966,1491,8,29717,20,2,47271,5351,17240,other,0.2,1,Agriculture,Working Capital,farmer,0.505,0
11319,7314,83513,4594,32,199950,10,6,300675,8932,0,none,0.0,1,Agriculture,Agricultural Input,farmer,1.0,1
8444,5484,34242,1788,18,81872,13,1,86547,4850,0,none,0.0,1,Construction,Equipment Purchase,construction,1.0,1
20864,9101,217704,19132,31,520705,39,2,1483363,20231,989521,property,1.0,1,Other,Business Expansion,professional,1.0,1
12155,6643,95667,4580,34,91303,9,5,148068,8166,63640,equipment,0.5,1,Agriculture,Equipment Purchase,farmer,1.0,1
3013,1415,77484,3047,7,102738,18,7,197343,848,82847,livestock,0.4,1,Agriculture,Equipment Purchase,farmer,1.0,1
9795,4880,185107,10339,18,324248,12,0,484970,11413,750871,savings,0.7,1,Services,Working Capital,civil_servant,1.0,1
16851,8340,80270,5156,29,156193,13,2,346607,7043,134108,other,0.2,1,Wholesale,Working Capital,small_trader,1.0,1
11120,4625,34797,837,24,43591,17,2,105288,0,57985,savings,0.7,0,Retail Trade,Business Expansion,small_trader,0.4732,0
24952,14267,50876,3129,43,291343,24,5,849965,28993,200933,property,1.0,1,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
10158,5379,47885,1460,29,130561,15,4,150100,0,122026,other,0.2,0,Agriculture,Working Capital,farmer,1.0,1
6465,3150,27894,4699,21,79315,21,4,95337,2758,0,none,0.0,1,Agriculture,Agricultural Input,farmer,1.0,1
11490,7310,49573,4118,34,65411,13,5,150463,10365,80396,equipment,0.5,1,Food & Beverage,Business Expansion,small_trader,1.0,1
19145,9399,191537,6326,15,58773,6,4,71083,15595,137213,vehicle,0.8,1,Services,Working Capital,civil_servant,1.0,1
7775,3702,179593,6478,46,349593,17,1,1114636,0,650968,vehicle,0.8,0,Services,Business Expansion,micro_entrepreneur,1.0,1
16231,6789,117050,2849,43,122998,5,5,153362,0,157844,savings,0.7,0,Food & Beverage,Working Capital,small_trader,1.0,1
13006,7842,11940,5475,34,243623,22,1,299820,0,266787,other,0.2,0,Food & Beverage,Working Capital,small_trader,1.0,1
15488,8499,15747,396,7,158225,6,5,154601,10711,50715,equipment,0.5,1,Construction,Equipment Purchase,construction,1.0,1
30269,12287,350113,10709,59,472831,41,2,1717328,24224,1264881,vehicle,0.8,1,Technology,Construction Project,professional,0.475,0
34352,12885,34575,9586,50,74476,13,0,128691,34968,92609,property,1.0,1,Other,Working Capital,civil_servant,0.267,0
9492,3960,125849,2632,25,32128,17,2,68018,4519,28459,equipment,0.5,1,Food & Beverage,Business Expansion,small_trader,0.3245,0
7975,4326,16685,7984,34,94103,17,0,265944,7292,82730,vehicle,0.8,1,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
27191,15123,175665,4451,20,148690,6,4,307713,25514,294975,property,1.0,1,Technology,Equipment Purchase,micro_entrepreneur,1.0,1
5418,2594,17963,6318,35,112778,17,3,240711,3635,108330,savings,0.7,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
3382,1918,92839,2168,24,158165,20,5,289369,2479,83786,other,0.2,1,Agriculture,Agricultural Input,farmer,1.0,1
15027,7108,420090,5710,29,546004,35,3,1010473,10331,538939,property,1.0,1,Other,Vehicle Purchase,professional,1.0,1
4810,3117,89318,1630,19,77449,7,6,138651,3819,55401,equipment,0.5,1,Agriculture,Agricultural Input,farmer,1.0,1
5767,3202,118902,4402,21,97679,16,5,225291,5725,67077,equipment,0.5,1,Food & Beverage,Working Capital,small_trader,1.0,1
8194,3613,49926,6508,44,293024,7,6,437303,8874,105441,savings,0.7,1,Food & Beverage,Working Capital,small_trader,1.0,1
14502,7788,78214,1455,6,95982,11,5,101256,9920,54795,savings,0.7,1,Transport,Vehicle Purchase,transport_worker,1.0,1
10804,6862,18978,1199,5,249098,15,5,322229,0,50148,vehicle,0.8,0,Transport,Vehicle Purchase,transport_worker,1.0,1
34890,12601,228999,7232,45,388401,26,4,1072128,32311,502320,savings,0.7,1,Other,Vehicle Purchase,civil_servant,0.5432,1
13691,5419,156658,4319,16,91971,10,4,236064,0,192825,vehicle,0.8,0,Retail Trade,Education,civil_servant,1.0,1
28353,15665,63555,6805,41,155529,30,0,483713,17030,308070,equipment,0.5,1,Retail Trade,Equipment Purchase,micro_entrepreneur,0.3838,0
13022,6489,96029,3767,47,289566,10,0,403690,6548,314732,equipment,0.5,1,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
19394,8160,288829,3435,16,315264,8,4,626413,0,344975,vehicle,0.8,0,Other,Vehicle Purchase,civil_servant,1.0,1
10192,5653,46025,553,21,105900,8,2,100423,5766,29359,livestock,0.4,1,Agriculture,Agricultural Input,farmer,1.0,1
15106,8696,72934,6130,33,245348,32,1,460570,8451,463963,equipment,0.5,1,Retail Trade,Business Expansion,micro_entrepreneur,1.0,1
23333,13026,138296,2212,24,59695,30,3,144214,13202,73950,property,1.0,1,Services,Working Capital,micro_entrepreneur,0.15,1
17839,8819,75344,9648,15,126154,21,5,279642,20884,236412,equipment,0.5,1,Services,Business Expansion,micro_entrepreneur,0.5112,1
9624,4982,62563,563,22,24430,10,5,27668,5577,7802,other,0.2,1,Construction,Business Expansion,construction,0.4275,1
13953,5492,265999,4121,24,30241,32,3,70437,9098,48647,property,1.0,1,Services,Working Capital,civil_servant,0.1395,0
10071,5214,78912,2204,33,238657,19,4,421816,5630,264576,savings,0.7,1,Retail Trade,Equipment Purchase,small_trader,1.0,1
6499,4704,22981,1036,13,95083,6,4,112563,0,0,none,0.0,0,Other,Other,daily_laborer,1.0,1
6649,4667,24562,3257,8,21139,10,2,32419,0,11690,other,0.2,0,Construction,Business Expansion,construction,1.0,1
24686,12241,31311,5600,17,184017,15,3,414807,17373,245765,equipment,0.5,1,Retail Trade,Business Expansion,small_trader,1.0,1
8750,3523,22799,4809,43,100406,9,1,158937,9851,130884,other,0.2,1,Retail Trade,Working Capital,small_trader,1.0,1
13000,5002,56566,8433,48,128067,6,0,376792,16499,314017,property,1.0,1,Other,Vehicle Purchase,civil_servant,1.0,1
6340,3925,51508,2505,21,54902,5,2,92274,0,0,none,0.0,0,Construction,Equipment Purchase,construction,1.0,1
6911,4316,140959,7854,42,68709,3,4,162765,2117,38045,equipment,0.5,1,Food & Beverage,Working Capital,small_trader,1.0,1
13852,7547,65145,3364,22,33819,29,3,65153,6556,12496,savings,0.7,1,Transport,Equipment Purchase,transport_worker,0.1818,0
12877,5929,49752,2170,15,95753,12,4,189123,9700,59926,equipment,0.5,1,Agriculture,Agricultural Input,farmer,1.0,1
15498,10215,22199,1848,19,114659,7,2,107707,0,66716,other,0.2,0,Construction,Working Capital,construction,1.0,1
8626,5473,73945,2299,17,81170,14,4,97872,3034,7593,equipment,0.5,1,Construction,Business Expansion,construction,1.0,1
11820,7570,86636,1262,32,184551,21,4,281177,0,83941,equipment,0.5,0,Wholesale,Business Expansion,small_trader,1.0,1
25518,11378,187733,9236,38,247018,22,1,446461,0,244228,savings,0.7,0,Other,Working Capital,civil_servant,0.6282,1
31268,16860,130793,4342,42,181231,6,0,451038,16481,182640,vehicle,0.8,1,Other,Construction Project,civil_servant,1.0,1
9730,6474,52528,1715,15,165543,3,3,254010,5115,73673,other,0.2,1,Construction,Working Capital,construction,1.0,1
34446,13263,34633,9515,50,158132,19,3,203437,0,161577,savings,0.7,0,Retail Trade,Vehicle Purchase,civil_servant,1.0,1
19956,9369,193954,8302,12,64569,23,2,88898,14948,42392,equipment,0.5,1,Retail Trade,Business Expansion,micro_entrepreneur,0.235,0
14102,7600,66556,4112,6,99448,12,4,166583,9156,48312,savings,0.7,1,Food & Beverage,Equipment Purchase,small_trader,1.0,1
51929,23680,281025,8494,34,472776,47,2,1529743,47724,831654,property,1.0,1,Technology,Vehicle Purchase,professional,0.305,0
7708,4392,60010,7528,10,335407,11,5,1033335,0,524521,vehicle,0.8,0,Manufacturing,Equipment Purchase,micro_entrepreneur,1.0,1
31169,15795,145825,3611,36,302404,19,3,414229,40915,191878,property,1.0,1,Other,Education,civil_servant,1.0,1
14896,5990,48698,11578,34,361451,15,0,742349,14687,557189,vehicle,0.8,1,Retail Trade,Construction Project,civil_servant,1.0,1
15393,6890,74685,7301,8,261795,10,6,631271,13822,251138,equipment,0.5,1,Wholesale,Equipment Purchase,small_trader,1.0,1
28460,16510,76539,1761,45,193118,8,4,620046,22846,156652,vehicle,0.8,1,Retail Trade,Working Capital,micro_entrepreneur,1.0,1
13435,5763,40654,6493,38,114267,34,4,285651,18405,227587,property,1.0,1,Other,Education,civil_servant,0.3732,1
12720,5730,137639,3036,29,55223,6,0,162002,18645,131038,property,1.0,1,Retail Trade,Working Capital,civil_servant,1.0,1
8022,5409,49782,2109,16,83702,17,5,128032,2280,0,none,0.0,1,Construction,Equipment Purchase,construction,1.0,1
18328,11388,104401,584,7,41292,23,1,61787,9484,22672,savings,0.7,1,Transport,Vehicle Purchase,transport_worker,0.2668,1
6385,4426,18510,841,17,76028,8,7,49805,2401,0,none,0.0,1,Services,Medical Emergency,daily_laborer,1.0,1
7059,4636,7675,1366,11,26550,4,8,37004,1893,0,none,0.0,1,Construction,Other,daily_laborer,1.0,1
10518,6129,20727,5581,15,156998,9,5,379614,0,56948,other,0.2,0,Wholesale,Business Expansion,small_trader,1.0,1
22023,8610,267014,10735,53,118354,19,4,306492,12447,140524,savings,0.7,1,Services,Vehicle Purchase,civil_servant,0.352,0
41157,13243,256608,20327,13,92665,14,2,255099,28606,223519,property,1.0,1,Services,Construction Project,professional,0.0925,0
46637,22843,198093,18266,53,335348,46,1,767622,0,348435,property,1.0,0,Services,Business Expansion,professional,0.4538,1
27706,13291,19774,1182,32,240044,15,1,491342,12531,443937,vehicle,0.8,1,Technology,Working Capital,micro_entrepreneur,1.0,1
31045,14120,295612,12533,58,343046,26,2,1208789,38146,902715,property,1.0,1,Technology,Vehicle Purchase,professional,0.475,0
14068,9106,17664,3356,26,160877,9,5,371967,0,212469,savings,0.7,0,Wholesale,Equipment Purchase,small_trader,1.0,1
28818,9721,427359,19319,56,174139,17,2,528700,32825,428777,savings,0.7,1,Services,Business Expansion,professional,0.2412,0
22074,11558,96227,3152,19,153583,13,4,213557,15213,347365,property,1.0,1,Retail Trade,Working Capital,civil_servant,1.0,1
9395,5910,42009,5442,22,67719,12,3,75983,7290,0,none,0.0,1,Transport,Working Capital,transport_worker,1.0,1
6211,5137,16045,1276,5,91198,8,5,135172,0,8495,other,0.2,0,Construction,Medical Emergency,daily_laborer,1.0,1
6415,3159,36857,3157,23,41088,8,2,33483,0,0,none,0.0,0,Agriculture,Working Capital,farmer,1.0,1
23344,8607,129283,4284,23,390013,17,4,911089,23405,579183,vehicle,0.8,1,Services,Education,civil_servant,1.0,1
21509,8904,77215,4654,13,110285,12,5,264034,14098,39769,equipment,0.5,1,Food & Beverage,Working Capital,small_trader,0.622,0
9406,4974,24331,6212,44,228161,14,6,465990,6157,226061,savings,0.7,1,Food & Beverage,Working Capital,small_trader,1.0,1
13545,8568,90932,2924,32,206184,24,3,213930,12582,0,none,0.0,1,Transport,Working Capital,transport_worker,1.0,1
17830,8290,134052,7248,18,84398,11,2,169519,0,80574,equipment,0.5,0,Wholesale,Working Capital,small_trader,0.6008,1
42793,19856,320305,24182,42,638453,43,2,1794430,58585,794609,savings,0.7,1,Technology,Vehicle Purchase,professional,0.5387,0
5125,2129,84951,4875,37,56950,13,2,64911,2290,32414,other,0.2,1,Retail Trade,Business Expansion,small_trader,1.0,1
5557,4328,29820,786,15,82294,3,2,95445,2017,0,none,0.0,1,Construction,Medical Emergency,daily_laborer,1.0,1
26513,14106,202538,11512,54,246264,31,3,330339,15772,148738,vehicle,0.8,1,Services,Education,civil_servant,0.6495,1
3270,1834,79228,3496,25,182815,6,5,318979,1289,65233,livestock,0.4,1,Agriculture,Agricultural Input,farmer,1.0,1
53138,25102,327290,23419,36,716777,28,1,2717324,55957,2035075,savings,0.7,1,Services,Education,professional,0.5387,1
13444,7926,35855,1678,7,165005,14,3,225286,0,0,none,0.0,0,Agriculture,Agricultural Input,farmer,1.0,1
18270,12216,114630,4845,25,217014,7,3,431696,0,212594,vehicle,0.8,0,Transport,Equipment Purchase,transport_worker,1.0,1
21913,10187,10230,3510,29,154037,21,1,282000,12123,77230,savings,0.7,1,Wholesale,Equipment Purchase,small_trader,1.0,1
21275,10830,70200,6918,41,206477,6,2,478628,21357,158893,property,1.0,1,Manufacturing,Business Expansion,micro_entrepreneur,1.0,1
5486,3959,22289,924,1,90656,7,8,125353,0,0,none,0.0,0,Services,Medical Emergency,daily_laborer,1.0,1
40823,13450,196059,12021,50,627619,20,2,1323423,0,1464864,property,1.0,0,Technology,Construction Project,professional,1.0,1
14628,7850,84055,4698,17,218175,9,2,238572,6832,48631,savings,0.7,1,Transport,Working Capital,transport_worker,1.0,1
6571,5843,20328,675,12,26737,11,5,38278,0,5523,other,0.2,0,Services,Medical Emergency,daily_laborer,1.0,1
17795,7361,67033,2077,10,178769,22,1,291810,0,169984,other,0.2,0,Wholesale,Equipment Purchase,small_trader,0.7495,1
4201,2965,20362,1378,8,33805,5,2,34491,0,406,other,0.2,0,Services,Other,daily_laborer,1.0,1
12475,8159,17772,2839,12,110715,3,5,179244,0,0,none,0.0,0,Construction,Working Capital,construction,1.0,1
15897,6048,101865,1731,39,341625,22,1,430654,14563,254798,property,1.0,1,Services,Construction Project,civil_servant,1.0,1
18943,7971,130814,4260,8,173920,11,6,227138,0,65158,equipment,0.5,0,Food & Beverage,Business Expansion,small_trader,1.0,1
22367,8307,150801,7092,23,129619,17,0,230688,18508,295668,property,1.0,1,Services,Education,civil_servant,0.267,0
22487,10976,111175,3098,44,55458,6,3,62274,25846,65535,savings,0.7,1,Food & Beverage,Working Capital,small_trader,0.5582,1
7428,4310,35729,3164,26,26934,8,3,38231,7095,34104,equipment,0.5,1,Retail Trade,Working Capital,small_trader,1.0,1
14180,8138,47482,4177,16,78676,15,5,154714,12017,64893,vehicle,0.8,1,Transport,Equipment Purchase,transport_worker,0.5855,1
3639,2932,21176,550,14,57248,10,7,78348,718,4613,other,0.2,1,Construction,Working Capital,daily_laborer,1.0,1
24465,11319,132713,7259,40,231904,19,0,523340,27953,330924,savings,0.7,1,Other,Working Capital,civil_servant,0.5432,0
31470,13990,174546,3373,26,115191,12,3,191492,17574,285163,property,1.0,1,Other,Construction Project,civil_servant,0.2882,0
5503,4104,5151,788,6,87097,9,3,56842,1457,18958,other,0.2,1,Services,Medical Emergency,daily_laborer,1.0,1
16399,8764,11562,2981,31,54690,6,1,74578,7135,52135,savings,0.7,1,Transport,Vehicle Purchase,transport_worker,1.0,1
8810,5130,75294,1381,10,85063,18,3,154329,0,43025,vehicle,0.8,0,Transport,Working Capital,transport_worker,1.0,1
21436,12037,100627,1724,33,295095,22,3,312777,22373,251188,equipment,0.5,1,Retail Trade,Business Expansion,small_trader,1.0,1
20713,9967,181086,8713,43,73294,29,0,180109,20999,167093,property,1.0,1,Services,Working Capital,civil_servant,0.0758,0
11693,8139,25192,2718,9,123549,12,1,161045,5268,0,none,0.0,1,Construction,Working Capital,construction,1.0,1
24855,14810,139078,2204,46,59943,13,5,91395,10323,50708,other,0.2,1,Wholesale,Business Expansion,small_trader,0.3245,0
3452,2056,26846,996,25,139429,19,5,261131,0,38057,livestock,0.4,0,Agriculture,Equipment Purchase,farmer,1.0,1
31579,15071,235502,3180,34,33452,13,3,99862,28468,60719,savings,0.7,1,Services,Vehicle Purchase,civil_servant,0.0758,0
24282,11504,284008,9647,18,158577,19,1,381338,0,106279,property,1.0,0,Other,Vehicle Purchase,civil_servant,0.5858,1
15961,10326,25765,1771,17,179800,3,1,190148,5306,75083,other,0.2,1,Construction,Equipment Purchase,construction,1.0,1
10935,6039,90064,1064,35,32581,6,7,35641,0,0,none,0.0,0,Agriculture,Working Capital,farmer,1.0,1
13648,7585,20419,4426,13,180713,16,4,380842,13492,153981,other,0.2,1,Wholesale,Equipment Purchase,small_trader,1.0,1
19519,9168,195494,12664,27,282519,38,2,789490,20699,725376,vehicle,0.8,1,Other,Business Expansion,professional,0.475,0
18127,9675,21483,1051,47,28405,12,4,33402,11177,28216,other,0.2,1,Retail Trade,Equipment Purchase,small_trader,0.282,0
6798,3119,17989,3890,6,187508,7,6,352203,0,50111,equipment,0.5,0,Agriculture,Equipment Purchase,farmer,1.0,1
29533,13974,257685,2523,38,215402,27,2,468137,23887,158747,savings,0.7,1,Retail Trade,Construction Project,civil_servant,0.3095,0
29656,16179,180121,4888,14,372118,33,1,912336,19757,703860,property,1.0,1,Other,Working Capital,civil_servant,0.607,0
54603,22294,457761,3883,31,760853,20,3,2955728,60461,624040,property,1.0,1,Services,Vehicle Purchase,professional,1.0,1
27287,13091,153488,3540,40,63478,28,0,144933,15168,103814,equipment,0.5,1,Services,Business Expansion,micro_entrepreneur,0.15,1
7177,3848,61289,4094,8,62601,10,2,76783,5437,57849,savings,0.7,1,Transport,Working Capital,transport_worker,1.0,1
14380,9090,99752,3043,28,38495,23,3,66088,13147,43862,equipment,0.5,1,Food & Beverage,Working Capital,small_trader,0.3245,1
8974,5245,30280,415,6,41248,17,1,36454,0,0,none,0.0,0,Construction,Working Capital,construction,1.0,1
7089,6293,20201,817,13,36004,8,7,23139,2739,3856,other,0.2,1,Construction,Medical Emergency,daily_laborer,1.0,1
4563,2280,60831,601,31,192684,10,4,159265,0,31722,other,0.2,0,Agriculture,Working Capital,farmer,1.0,1
22076,12144,110097,4270,37,122059,22,2,232958,0,109226,equipment,0.5,0,Technology,Equipment Purchase,micro_entrepreneur,0.4688,0
55514,23033,384216,15625,21,496106,39,0,1757339,33522,942123,property,1.0,1,Technology,Vehicle Purchase,professional,0.3262,0
55477,25105,431047,22993,55,135978,28,0,376136,0,125785,property,1.0,0,Other,Business Expansion,professional,0.22,1
10258,6091,105867,789,32,70412,22,3,109345,0,0,none,0.0,0,Transport,Equipment Purchase,transport_worker,1.0,1
25434,9129,235714,11439,28,221378,17,0,419417,27875,410488,property,1.0,1,Services,Education,civil_servant,1.0,1
25607,14033,170283,9500,18,80139,20,4,144235,18146,129257,equipment,0.5,1,Services,Business Expansion,micro_entrepreneur,0.3412,1
13907,5613,44635,7037,12,136234,3,3,140529,0,139671,equipment,0.5,0,Wholesale,Business Expansion,small_trader,1.0,1
14721,7188,108737,9697,30,314227,25,2,999284,17396,402230,vehicle,0.8,1,Services,Working Capital,micro_entrepreneur,1.0,1
5831,2633,139509,3436,10,216673,9,2,541025,0,319877,savings,0.7,0,Wholesale,Working Capital,small_trader,1.0,1
15681,7990,87508,3702,10,31283,8,3,55008,8865,20234,vehicle,0.8,1,Transport,Equipment Purchase,transport_worker,0.373,1
7276,3862,7198,2651,20,39987,19,4,48256,3865,0,none,0.0,1,Agriculture,Equipment Purchase,farmer,1.0,1
7721,4702,31670,2968,16,124245,8,3,200172,0,134116,equipment,0.5,0,Wholesale,Business Expansion,small_trader,1.0,1
21362,13660,125397,4866,13,47933,4,4,105994,7460,68203,savings,0.7,1,Food & Beverage,Business Expansion,small_trader,1.0,1
40208,14104,153540,16449,37,55773,41,2,175940,37226,148552,vehicle,0.8,1,Services,Construction Project,professional,0.0713,0
19240,12496,89820,754,21,127408,28,2,161786,9049,145554,savings,0.7,1,Transport,Vehicle Purchase,transport_worker,0.6918,1
8244,3474,280072,3901,42,112168,15,4,281760,7656,146438,property,1.0,1,Services,Working Capital,civil_servant,1.0,1
4591,2661,79011,1524,10,73995,15,5,70817,1657,38676,other,0.2,1,Agriculture,Equipment Purchase,farmer,1.0,1
13128,8138,100815,7274,32,56760,9,2,134137,0,37527,other,0.2,0,Retail Trade,Working Capital,small_trader,1.0,1
14222,6625,49844,5504,39,73799,25,1,151335,11666,47930,equipment,0.5,1,Retail Trade,Business Expansion,micro_entrepreneur,0.3838,1
26868,11566,88866,8273,32,78942,33,3,191807,27664,130493,savings,0.7,1,Retail Trade,Vehicle Purchase,civil_servant,0.1395,0
8775,4816,16260,515,21,68454,7,2,83714,2668,0,none,0.0,1,Construction,Equipment Purchase,construction,1.0,1
22622,12189,177559,4211,19,94497,7,0,303724,22497,141965,vehicle,0.8,1,Technology,Business Expansion,micro_entrepreneur,1.0,1
4429,2906,18483,505,8,51404,3,5,47616,0,10023,other,0.2,0,Construction,Working Capital,daily_laborer,1.0,1
12251,7368,55945,2305,9,150674,13,6,200676,12588,182957,savings,0.7,1,Retail Trade,Business Expansion,small_trader,1.0,1
20780,8930,29676,2862,27,229444,20,5,549035,0,331258,other,0.2,0,Wholesale,Working Capital,small_trader,1.0,1
51683,19217,265980,24245,23,590940,39,0,1626557,66914,719611,vehicle,0.8,1,Services,Vehicle Purchase,professional,0.4538,1
23066,9628,18150,7474,33,126287,18,5,226912,23780,69752,other,0.2,1,Food & Beverage,Business Expansion,small_trader,1.0,1
2891,1882,29136,1420,9,99529,9,2,61480,0,2804,other,0.2,0,Other,Other,daily_laborer,1.0,1
9655,4078,225244,3605,21,33733,19,4,43630,7821,61599,vehicle,0.8,1,Other,Working Capital,civil_servant,0.3308,0
59706,23353,371274,20437,35,692737,31,1,1225839,75261,573966,vehicle,0.8,1,Other,Business Expansion,professional,0.5387,1
